Disease,Medication,Adult_Medication,Pediatric_Medication,Diabetes_Medication,Hypertension_Medication,Heart_Medication,Kidney_Medication
Fungal infection,"['Fluconazole 150mg', 'Clotrimazole 1% cream', 'Terbinafine 250mg', 'Ketoconazole shampoo', 'Levocetirizine 5mg']","['Fluconazole 150mg tablet', 'Clotrimazole 1% cream topical', 'Terbinafine 250mg tablet', 'Ketoconazole shampoo topical', 'Levocetirizine 5mg tablet']","['Fluconazole 50mg tablet (dose-adjusted)', 'Clotrimazole cream topical', 'Terbinafine 125mg tablet (if >12 yrs)', 'Ketoconazole shampoo', 'Levocetirizine 2.5mg syrup']","['Fluconazole 150mg tablet', 'Clotrimazole cream topical', 'Terbinafine 250mg tablet', 'Ketoconazole shampoo', 'Levocetirizine 5mg']","['Fluconazole 150mg tablet', 'Clotrimazole cream', 'Terbinafine 250mg tablet', 'Ketoconazole shampoo', 'Levocetirizine 5mg']","['Fluconazole 150mg tablet', 'Clotrimazole cream', 'Terbinafine 250mg tablet', 'Ketoconazole shampoo, 'Levocetirizine 5mg']","['Fluconazole 100mg tablet (dose adjusted)', 'Clotrimazole cream', 'Terbinafine 125mg tablet (dose adjusted)', 'Ketoconazole shampoo']"
Allergy,"['Cetirizine 10mg', 'Levocetirizine 5mg', 'Montelukast 10mg', 'Chlorpheniramine 4mg', 'Fluticasone nasal spray']","['Cetirizine 10mg tablet', 'Levocetirizine 5mg tablet', 'Montelukast 10mg tablet', 'Chlorpheniramine 4mg tablet', 'Fluticasone nasal spray 50mcg/dose']","['Cetirizine 5mg syrup', 'Levocetirizine 2.5mg syrup', 'Montelukast 4mg chewable', 'Chlorpheniramine 2mg syrup', 'Fluticasone nasal spray (age adjusted)']","['Cetirizine 10mg', 'Levocetirizine 5mg', 'Montelukast 10mg', 'Chlorpheniramine 4mg', 'Fluticasone nasal spray']","['Cetirizine 10mg', 'Levocetirizine 5mg', 'Montelukast 10mg', 'Chlorpheniramine 4mg', 'Fluticasone nasal spray']","['Cetirizine 10mg', 'Levocetirizine 5mg', 'Montelukast 10mg', 'Chlorpheniramine 4mg', 'Fluticasone nasal spray']","['Cetirizine 10mg', 'Levocetirizine 5mg', 'Montelukast 10mg', 'Chlorpheniramine 4mg', 'Fluticasone nasal spray']"
GERD,"['Omeprazole 20mg', 'Ranitidine 150mg', 'Antacids (Magnesium Hydroxide + Aluminium Hydroxide)', 'Domperidone 10mg', 'Sucralfate 1g']","['Omeprazole 20mg once daily', 'Ranitidine 150mg twice daily', 'Antacids as needed', 'Domperidone 10mg thrice daily', 'Sucralfate 1g before meals']","['Omeprazole 10mg (age-adjusted)', 'Ranitidine 75mg', 'Pediatric antacids', 'Domperidone 5mg', 'Sucralfate 0.5g']","['Omeprazole 20mg once daily', 'Ranitidine 150mg twice daily', 'Antacids as needed']","['Omeprazole 20mg', 'Ranitidine 150mg (monitor BP if needed)', 'Antacids']","['Omeprazole 20mg', 'Ranitidine 150mg', 'avoid Domperidone if arrhythmia risk']","['Omeprazole 10-20mg (dose-adjusted)', 'Antacids safe', 'avoid Domperidone if severe kidney disease']"
Chronic cholestasis,"['Ursodeoxycholic Acid 300mg', 'Cholestyramine 4g', 'Rifampicin 150mg', 'Vitamin D', 'Fat-soluble vitamins (A, E, K)']","['Ursodeoxycholic Acid 300mg twice daily' , 'Cholestyramine 4g daily', 'Rifampicin 150mg once or twice daily', 'Vitamin D supplements', 'Fat-soluble vitamins (A, E, K)']","['Ursodeoxycholic Acid 10-15 mg/kg/day', 'Cholestyramine 2g daily', 'Rifampicin dose adjusted by weight', 'Vitamins as above']","['Ursodeoxycholic Acid 300mg twice daily', 'Cholestyramine 4g daily', 'Rifampicin 150mg once daily', 'Vitamins']","['Ursodeoxycholic Acid 300mg twice daily', 'Cholestyramine 4g daily', 'Rifampicin 150mg once daily', 'Vitamins']","['Ursodeoxycholic Acid 300mg twice daily', 'Cholestyramine 4g daily', 'Rifampicin 150mg once daily', 'Vitamins']","['Ursodeoxycholic Acid dose adjusted', 'Cholestyramine 2g daily', 'Rifampicin dose adjusted', 'Vitamins']"
Drug Reaction,"['Antihistamines (Cetirizine 10mg)', 'Corticosteroids (Prednisolone 20mg)', 'Adrenaline 0.5mg IM (for severe cases)', 'Calamine lotion', 'Paracetamol 500mg']","['Cetirizine 10mg tablet', 'Prednisolone 20mg tablet', 'Adrenaline 0.5mg IM', 'Calamine lotion', 'Paracetamol 500mg']","['Cetirizine 5mg syrup', 'Prednisolone 1-2 mg/kg/day (max 20mg)', 'Adrenaline 0.01mg/kg IM', 'Calamine lotion', 'Paracetamol syrup']","['Cetirizine 10mg', 'Prednisolone 20mg (adjust dose for glucose control)', 'Adrenaline 0.5mg IM']","['Cetirizine 10mg', 'Prednisolone 20mg', 'Adrenaline 0.5mg IM (monitor BP)', 'Calamine lotion']","['Cetirizine 10mg', 'Prednisolone 20mg', 'Adrenaline 0.5mg IM', 'Calamine lotion']","['Cetirizine 10mg', 'Prednisolone 10-20mg (dose-adjusted)', 'Adrenaline 0.5mg IM', 'Paracetamol 500mg']"
Peptic ulcer disease,"['Omeprazole 20mg', 'Pantoprazole 40mg', 'Ranitidine 150mg', 'Sucralfate 1g', 'Antacids (Magnesium Hydroxide + Aluminium Hydroxide)']","['Omeprazole 20mg', 'Pantoprazole 40mg', 'Ranitidine 150mg', 'Sucralfate 1g', 'Antacids']","['Omeprazole 10mg', 'Ranitidine 75mg', 'Sucralfate 0.5g', 'Pediatric Antacids']","['Omeprazole 20mg', 'Pantoprazole 40mg', 'Sucralfate 1g', 'Antacids']","['Omeprazole 20mg', 'Ranitidine 150mg', 'Sucralfate 1g', 'Antacids']","['Omeprazole 20mg', 'Ranitidine 150mg', 'Sucralfate 1g', 'Antacids']","['Omeprazole 10-20mg', 'Pantoprazole 20mg (dose-adjusted)', 'Sucralfate 1g', 'Antacids']"
AIDS,"['Tenofovir 300mg', 'Emtricitabine 200mg', 'Efavirenz 600mg', 'Dolutegravir 50mg', 'Cotrimoxazole DS']","['Tenofovir 300mg', 'Emtricitabine 200mg', 'Efavirenz 600mg', 'Dolutegravir 50mg', 'Cotrimoxazole DS']","['Tenofovir 150mg', 'Emtricitabine 100mg', 'Dolutegravir 25mg', 'Cotrimoxazole syrup']","['Tenofovir 300mg', 'Emtricitabine 200mg', 'Dolutegravir 50mg', 'Cotrimoxazole DS']","['Tenofovir 300mg', 'Emtricitabine 200mg', 'Dolutegravir 50mg', 'Cotrimoxazole DS']","['Tenofovir 300mg', 'Emtricitabine 200mg', 'Dolutegravir 50mg', 'Cotrimoxazole DS']","['Tenofovir 150mg (dose-adjusted)', 'Emtricitabine 100mg (dose-adjusted)', 'Dolutegravir 50mg', 'Cotrimoxazole']"
Diabetes,"['Metformin 500mg', 'Glimepiride 1mg', 'Insulin (Regular/NPH)', 'Dapagliflozin 10mg', 'Sitagliptin 50mg']","['Metformin 500mg', 'Glimepiride 1mg', 'Insulin (Regular/NPH)', 'Dapagliflozin 10mg', 'Sitagliptin 50mg']","['Metformin 250mg', 'Insulin (Regular/NPH)', 'Sitagliptin (age adjusted)']","['Metformin 500mg', 'Glimepiride 1mg', 'Insulin (Regular/NPH)', 'Dapagliflozin 10mg', 'Sitagliptin 50mg']","['Metformin 500mg', 'Insulin (Regular)', 'Dapagliflozin 10mg']","['Metformin 500mg', 'Insulin (Regular)', 'Dapagliflozin 10mg']","['Metformin 250-500mg', 'Insulin (dose adjusted)', 'Avoid Dapagliflozin in CKD stage 3 or higher']"
Gastroenteritis,"['ORS (Oral Rehydration Solution)', 'Ciprofloxacin 500mg', 'Metronidazole 400mg', 'Zinc 20mg', 'Probiotics']","['ORS', 'Ciprofloxacin 500mg twice daily', 'Metronidazole 400mg thrice daily', 'Zinc 20mg once daily', 'Probiotics']","['ORS', 'Zinc 10mg once daily', 'Metronidazole syrup (dose-adjusted)', 'Probiotics']","['ORS', 'Ciprofloxacin 500mg twice daily', 'Metronidazole 400mg thrice daily', 'Zinc 20mg', 'Probiotics']","['ORS', 'Ciprofloxacin 500mg', 'Metronidazole 400mg', 'Probiotics']","['ORS', 'Ciprofloxacin 500mg', 'Metronidazole 400mg', 'Probiotics']","['ORS', 'Metronidazole dose-adjusted', 'Avoid Ciprofloxacin in severe CKD', 'Probiotics']"
Bronchial Asthma,"['Salbutamol Inhaler 100mcg', 'Budesonide Inhaler 200mcg', 'Montelukast 10mg', 'Theophylline 400mg', 'Ipratropium Inhaler 20mcg']","['Salbutamol Inhaler 100mcg', 'Budesonide Inhaler 200mcg', 'Montelukast 10mg', 'Theophylline 400mg', 'Ipratropium Inhaler 20mcg']","['Salbutamol Inhaler 50mcg', 'Budesonide Inhaler 100mcg', 'Montelukast 4mg chewable', 'Ipratropium Inhaler 20mcg']","['Salbutamol Inhaler 100mcg', 'Budesonide Inhaler 200mcg', 'Montelukast 10mg', 'Theophylline 400mg']","['Salbutamol Inhaler 100mcg', 'Budesonide Inhaler 200mcg', 'Montelukast 10mg', 'Ipratropium Inhaler']","['Salbutamol Inhaler 100mcg', 'Budesonide Inhaler 200mcg', 'Montelukast 10mg', 'Ipratropium Inhaler']","['Salbutamol Inhaler 100mcg', 'Budesonide Inhaler 200mcg', 'Montelukast 10mg', 'Avoid Theophylline in severe CKD']"
