Disease,Medication,Adult_Medication,Pediatric_Medication,Diabetes_Medication,Hypertension_Medication,Heart_Medication,Kidney_Medication
Fungal infection,"['Fluconazole 150mg', 'Itraconazole 100mg', 'Terbinafine 250mg', 'Clotrimazole 1% topical', 'Ketoconazole 200mg']","['Fluconazole 150mg', 'Itraconazole 100mg', 'Terbinafine 250mg', 'Clotrimazole 1% topical', 'Ketoconazole 200mg']","['Fluconazole 50-100mg', 'Clotrimazole 1% topical', 'Nystatin 100,000 units/ml']","['Fluconazole 150mg', 'Terbinafine 250mg', 'Clotrimazole 1% topical']","['Fluconazole 150mg', 'Terbinafine 250mg', 'Clotrimazole 1% topical']","['Fluconazole 150mg', 'Terbinafine 250mg', 'Clotrimazole 1% topical']","['Fluconazole 150mg', 'Terbinafine 250mg', 'Clotrimazole 1% topical']"
Allergy,"['Loratadine 10mg', 'Cetirizine 10mg', 'Diphenhydramine 25mg', 'Fexofenadine 180mg', 'Benadryl 25mg']","['Loratadine 10mg', 'Cetirizine 10mg', 'Diphenhydramine 25mg', 'Fexofenadine 180mg', 'Benadryl 25mg']","['Loratadine 5mg', 'Cetirizine 5mg', 'Children''s Benadryl 12.5mg']","['Loratadine 10mg', 'Cetirizine 10mg', 'Fexofenadine 180mg']","['Loratadine 10mg', 'Cetirizine 10mg', 'Fexofenadine 180mg']","['Loratadine 10mg', 'Cetirizine 10mg', 'Fexofenadine 180mg']","['Loratadine 10mg', 'Cetirizine 10mg', 'Fexofenadine 180mg']"
GERD,"['Omeprazole 20mg', 'Lansoprazole 30mg', 'Ranitidine 150mg', 'Famotidine 20mg', 'Antacids']","['Omeprazole 20mg', 'Lansoprazole 30mg', 'Ranitidine 150mg', 'Famotidine 20mg', 'Antacids']","['Omeprazole 10mg', 'Famotidine 10mg', 'Antacids (pediatric dose)']","['Omeprazole 20mg', 'Lansoprazole 30mg', 'Famotidine 20mg', 'Low-sodium antacids']","['Omeprazole 20mg', 'Lansoprazole 30mg', 'Famotidine 20mg', 'Low-sodium antacids']","['Omeprazole 20mg', 'Lansoprazole 30mg', 'Famotidine 20mg']","['Omeprazole 20mg', 'Lansoprazole 30mg', 'Famotidine 20mg']"
Chronic cholestasis,"['Ursodeoxycholic acid 300mg', 'Cholestyramine 4g', 'Rifampin 150mg', 'Vitamin supplements']","['Ursodeoxycholic acid 300mg', 'Cholestyramine 4g', 'Rifampin 150mg', 'Vitamin supplements']","['Ursodeoxycholic acid 150mg', 'Vitamin supplements']","['Ursodeoxycholic acid 300mg', 'Cholestyramine 4g', 'Vitamin supplements']","['Ursodeoxycholic acid 300mg', 'Cholestyramine 4g', 'Vitamin supplements']","['Ursodeoxycholic acid 300mg', 'Cholestyramine 4g', 'Vitamin supplements']","['Ursodeoxycholic acid 300mg', 'Cholestyramine 4g', 'Vitamin supplements']"
Drug Reaction,"['Discontinue offending drug', 'Antihistamines 10mg', 'Corticosteroids 10mg', 'Epinephrine 0.3mg (severe)']","['Discontinue offending drug', 'Antihistamines 10mg', 'Corticosteroids 10mg', 'Epinephrine 0.3mg (severe)']","['Discontinue offending drug', 'Antihistamines 5mg', 'Corticosteroids 5mg']","['Discontinue offending drug', 'Antihistamines 10mg', 'Epinephrine 0.3mg (severe)']","['Discontinue offending drug', 'Antihistamines 10mg', 'Epinephrine 0.3mg (severe)']","['Discontinue offending drug', 'Antihistamines 10mg', 'Epinephrine 0.3mg (severe)']","['Discontinue offending drug', 'Antihistamines 10mg', 'Epinephrine 0.3mg (severe)']"
Peptic ulcer disease,"['Omeprazole 20mg', 'Amoxicillin 500mg', 'Clarithromycin 500mg', 'Metronidazole 500mg', 'Bismuth 262mg']","['Omeprazole 20mg', 'Amoxicillin 500mg', 'Clarithromycin 500mg', 'Metronidazole 500mg', 'Bismuth 262mg']","['Omeprazole 10mg', 'Amoxicillin 250mg', 'Clarithromycin 250mg']","['Omeprazole 20mg', 'Amoxicillin 500mg', 'Clarithromycin 500mg', 'Bismuth 262mg']","['Omeprazole 20mg', 'Amoxicillin 500mg', 'Clarithromycin 500mg', 'Bismuth 262mg']","['Omeprazole 20mg', 'Amoxicillin 500mg', 'Clarithromycin 500mg', 'Bismuth 262mg']","['Omeprazole 20mg', 'Amoxicillin 500mg', 'Clarithromycin 500mg', 'Bismuth 262mg']"
AIDS,"['Zidovudine 300mg', 'Efavirenz 600mg', 'Tenofovir 300mg', 'Emtricitabine 200mg', 'Ritonavir 100mg']","['Zidovudine 300mg', 'Efavirenz 600mg', 'Tenofovir 300mg', 'Emtricitabine 200mg', 'Ritonavir 100mg']","['Zidovudine 150mg', 'Efavirenz 200mg', 'Emtricitabine 100mg']","['Zidovudine 300mg', 'Efavirenz 600mg', 'Emtricitabine 200mg', 'Ritonavir 100mg']","['Zidovudine 300mg', 'Efavirenz 600mg', 'Emtricitabine 200mg', 'Ritonavir 100mg']","['Zidovudine 300mg', 'Efavirenz 600mg', 'Emtricitabine 200mg', 'Ritonavir 100mg']","['Zidovudine 300mg', 'Efavirenz 600mg', 'Emtricitabine 200mg', 'Ritonavir 100mg']"
Diabetes,"['Metformin 500mg', 'Insulin', 'Glipizide 5mg', 'Pioglitazone 15mg', 'Glyburide 5mg']","['Metformin 500mg', 'Insulin', 'Glipizide 5mg', 'Pioglitazone 15mg', 'Glyburide 5mg']","['Insulin', 'Metformin 250mg']","['Metformin 500mg', 'Insulin', 'Glipizide 5mg', 'Glyburide 5mg']","['Insulin', 'Glipizide 5mg', 'Glyburide 5mg', 'Linagliptin 5mg']","['Insulin', 'Glipizide 5mg', 'Empagliflozin 10mg']","['Insulin', 'Glipizide 5mg', 'Linagliptin 5mg']"
Gastroenteritis,"['Oral rehydration salts', 'Loperamide 2mg', 'Probiotics', 'Ondansetron 4mg']","['Oral rehydration salts', 'Loperamide 2mg', 'Probiotics', 'Ondansetron 4mg']","['Oral rehydration salts', 'Probiotics', 'Ondansetron 2mg']","['Oral rehydration salts', 'Probiotics', 'Ondansetron 4mg']","['Oral rehydration salts', 'Probiotics', 'Ondansetron 4mg']","['Oral rehydration salts', 'Probiotics', 'Ondansetron 4mg']","['Oral rehydration salts', 'Probiotics', 'Ondansetron 4mg']"
Bronchial Asthma,"['Albuterol 90mcg', 'Prednisone 10mg', 'Montelukast 10mg', 'Fluticasone 110mcg', 'Theophylline 200mg']","['Albuterol 90mcg', 'Prednisone 10mg', 'Montelukast 10mg', 'Fluticasone 110mcg', 'Theophylline 200mg']","['Albuterol 45mcg', 'Montelukast 5mg', 'Fluticasone 55mcg']","['Albuterol 90mcg', 'Montelukast 10mg', 'Fluticasone 110mcg', 'Theophylline 200mg']","['Albuterol 90mcg', 'Montelukast 10mg', 'Fluticasone 110mcg', 'Theophylline 200mg']","['Albuterol 90mcg', 'Montelukast 10mg', 'Fluticasone 110mcg']","['Albuterol 90mcg', 'Montelukast 10mg', 'Fluticasone 110mcg']"
